question_id,model_a,model_b,winner,turn
160,vicuna-13b-v1.2,claude-v1,model_a,2
123,alpaca-13b,gpt-3.5-turbo,model_b,1
145,vicuna-13b-v1.2,alpaca-13b,model_a,1
133,gpt-3.5-turbo,claude-v1,tie,2
85,gpt-3.5-turbo,claude-v1,tie,1
97,claude-v1,llama-13b,model_b,1
107,gpt-4,claude-v1,tie,1
143,gpt-3.5-turbo,vicuna-13b-v1.2,model_a,1
85,claude-v1,alpaca-13b,model_a,2
109,gpt-4,claude-v1,tie,2
152,gpt-3.5-turbo,alpaca-13b,tie,2
119,claude-v1,llama-13b,model_a,1
160,gpt-3.5-turbo,alpaca-13b,model_a,1
83,gpt-3.5-turbo,claude-v1,model_a,2
127,llama-13b,claude-v1,model_b,2
150,gpt-4,alpaca-13b,model_a,2
145,llama-13b,alpaca-13b,model_b,1
103,gpt-3.5-turbo,llama-13b,model_a,2
104,alpaca-13b,vicuna-13b-v1.2,tie,1
103,alpaca-13b,gpt-4,model_b,1
83,gpt-4,claude-v1,model_b,1
87,gpt-3.5-turbo,claude-v1,tie,2
135,gpt-3.5-turbo,llama-13b,model_a,2
112,gpt-3.5-turbo,claude-v1,tie,2
149,alpaca-13b,claude-v1,model_b,2
160,vicuna-13b-v1.2,claude-v1,model_b,1
84,llama-13b,vicuna-13b-v1.2,model_b,1
95,llama-13b,vicuna-13b-v1.2,tie,2
132,gpt-4,claude-v1,model_b,2
140,gpt-3.5-turbo,vicuna-13b-v1.2,tie,1
132,llama-13b,vicuna-13b-v1.2,model_b,1
150,vicuna-13b-v1.2,gpt-3.5-turbo,model_b,1
160,vicuna-13b-v1.2,claude-v1,model_b,2
145,llama-13b,alpaca-13b,model_b,2
92,gpt-3.5-turbo,llama-13b,model_a,1
133,gpt-3.5-turbo,vicuna-13b-v1.2,tie,1
126,llama-13b,gpt-3.5-turbo,model_b,2
130,llama-13b,claude-v1,tie,1
108,gpt-4,gpt-3.5-turbo,model_a,2
109,claude-v1,llama-13b,tie,1
105,llama-13b,gpt-3.5-turbo,tie,1
145,claude-v1,vicuna-13b-v1.2,model_a,2
158,llama-13b,gpt-4,model_b,2
116,claude-v1,vicuna-13b-v1.2,tie,1
106,gpt-3.5-turbo,gpt-4,model_b,2
111,vicuna-13b-v1.2,gpt-4,tie,2
150,alpaca-13b,claude-v1,model_b,1
158,alpaca-13b,llama-13b,model_b,1
115,gpt-3.5-turbo,claude-v1,model_a,2
156,gpt-3.5-turbo,claude-v1,model_a,2
140,gpt-4,claude-v1,tie,2
140,claude-v1,llama-13b,model_a,2
132,claude-v1,gpt-3.5-turbo,model_b,1
85,vicuna-13b-v1.2,gpt-3.5-turbo,tie,2
155,alpaca-13b,vicuna-13b-v1.2,model_b,2
119,alpaca-13b,gpt-3.5-turbo,model_b,1
85,alpaca-13b,claude-v1,model_b,1
129,gpt-3.5-turbo,vicuna-13b-v1.2,model_a,1
120,gpt-3.5-turbo,vicuna-13b-v1.2,tie,2
122,gpt-3.5-turbo,gpt-4,tie,1
82,claude-v1,gpt-4,model_a,2
155,gpt-3.5-turbo,claude-v1,tie,1
99,gpt-4,gpt-3.5-turbo,model_a,2
85,claude-v1,alpaca-13b,model_a,2
127,alpaca-13b,gpt-3.5-turbo,model_b,1
112,llama-13b,vicuna-13b-v1.2,tie,2
138,gpt-3.5-turbo,vicuna-13b-v1.2,model_a,2
102,gpt-4,llama-13b,tie,1
135,vicuna-13b-v1.2,llama-13b,tie,2
101,alpaca-13b,vicuna-13b-v1.2,model_a,1
128,claude-v1,gpt-3.5-turbo,tie,1
101,vicuna-13b-v1.2,gpt-3.5-turbo,model_b,2
149,llama-13b,vicuna-13b-v1.2,model_b,1
118,gpt-3.5-turbo,gpt-4,model_a,1
123,claude-v1,llama-13b,model_a,1
139,vicuna-13b-v1.2,alpaca-13b,tie,1
86,claude-v1,gpt-3.5-turbo,tie,1
134,gpt-3.5-turbo,gpt-4,tie,2
91,gpt-4,alpaca-13b,model_a,1
85,llama-13b,gpt-3.5-turbo,model_b,1
94,vicuna-13b-v1.2,llama-13b,model_a,2
126,llama-13b,vicuna-13b-v1.2,tie,2
160,alpaca-13b,gpt-3.5-turbo,tie,2
113,gpt-3.5-turbo,vicuna-13b-v1.2,model_a,1
98,claude-v1,llama-13b,model_a,1
92,llama-13b,claude-v1,model_b,1
105,vicuna-13b-v1.2,alpaca-13b,tie,2
87,vicuna-13b-v1.2,llama-13b,model_a,1
159,gpt-3.5-turbo,llama-13b,model_a,1
82,gpt-4,claude-v1,model_b,2
96,llama-13b,alpaca-13b,model_a,1
113,gpt-3.5-turbo,llama-13b,model_a,2
160,alpaca-13b,gpt-3.5-turbo,model_b,2
137,vicuna-13b-v1.2,llama-13b,tie,2
89,alpaca-13b,vicuna-13b-v1.2,tie,1
114,vicuna-13b-v1.2,llama-13b,tie,2
139,gpt-4,claude-v1,model_a,2
138,gpt-3.5-turbo,vicuna-13b-v1.2,model_a,1
123,alpaca-13b,vicuna-13b-v1.2,model_b,1
157,gpt-3.5-turbo,llama-13b,tie,1
100,alpaca-13b,claude-v1,model_a,1
160,gpt-4,vicuna-13b-v1.2,tie,1
123,gpt-3.5-turbo,claude-v1,tie,1
124,claude-v1,gpt-3.5-turbo,model_b,1
98,llama-13b,gpt-4,model_b,1
127,claude-v1,llama-13b,model_a,1
115,claude-v1,vicuna-13b-v1.2,model_a,2
143,llama-13b,claude-v1,model_b,2
160,llama-13b,alpaca-13b,model_a,1
95,gpt-3.5-turbo,gpt-4,model_a,1
85,vicuna-13b-v1.2,gpt-3.5-turbo,model_b,1
105,gpt-3.5-turbo,alpaca-13b,tie,2
93,gpt-4,gpt-3.5-turbo,tie,1
85,gpt-4,claude-v1,model_a,2
152,gpt-4,llama-13b,model_a,1
93,gpt-3.5-turbo,gpt-4,tie,2
160,gpt-4,claude-v1,tie,2
157,vicuna-13b-v1.2,claude-v1,model_b,2
127,llama-13b,gpt-3.5-turbo,model_b,1
83,gpt-4,gpt-3.5-turbo,model_b,1
116,llama-13b,gpt-4,model_b,1
86,gpt-4,claude-v1,model_a,2
113,gpt-4,llama-13b,model_a,1
89,gpt-4,vicuna-13b-v1.2,model_b,2
112,llama-13b,vicuna-13b-v1.2,model_b,1
107,gpt-4,alpaca-13b,model_b,2
94,llama-13b,claude-v1,model_b,2
109,gpt-3.5-turbo,claude-v1,tie,1
160,gpt-4,gpt-3.5-turbo,tie,2
150,vicuna-13b-v1.2,gpt-3.5-turbo,model_a,2
106,gpt-4,claude-v1,model_b,2
91,gpt-4,claude-v1,tie,1
83,gpt-4,alpaca-13b,model_a,2
124,gpt-3.5-turbo,gpt-4,tie,1
107,vicuna-13b-v1.2,alpaca-13b,model_a,2
148,llama-13b,claude-v1,model_b,1
159,vicuna-13b-v1.2,claude-v1,model_a,2
133,gpt-4,gpt-3.5-turbo,tie,1
113,gpt-3.5-turbo,gpt-4,tie,1
127,alpaca-13b,vicuna-13b-v1.2,tie,2
146,gpt-4,gpt-3.5-turbo,tie,1
154,vicuna-13b-v1.2,llama-13b,model_a,1
147,gpt-3.5-turbo,claude-v1,model_b,1
101,gpt-4,llama-13b,model_a,1
114,claude-v1,alpaca-13b,model_a,1
103,llama-13b,gpt-3.5-turbo,model_b,2
146,llama-13b,vicuna-13b-v1.2,model_b,1
111,llama-13b,gpt-4,model_b,1
101,claude-v1,gpt-3.5-turbo,tie,1
86,alpaca-13b,llama-13b,tie,1
149,llama-13b,gpt-3.5-turbo,model_b,1
112,llama-13b,vicuna-13b-v1.2,model_a,2
152,claude-v1,llama-13b,model_a,1
128,gpt-3.5-turbo,llama-13b,model_a,2
126,llama-13b,vicuna-13b-v1.2,tie,1
115,vicuna-13b-v1.2,gpt-3.5-turbo,model_b,1
148,gpt-3.5-turbo,vicuna-13b-v1.2,model_a,2
94,vicuna-13b-v1.2,alpaca-13b,model_b,1
160,gpt-4,vicuna-13b-v1.2,tie,2
129,alpaca-13b,gpt-3.5-turbo,tie,1
136,alpaca-13b,gpt-3.5-turbo,tie,1
148,gpt-3.5-turbo,claude-v1,tie,1
97,claude-v1,alpaca-13b,model_a,2
84,alpaca-13b,llama-13b,model_a,1
124,vicuna-13b-v1.2,alpaca-13b,model_b,1
136,gpt-3.5-turbo,gpt-4,model_a,1
141,gpt-3.5-turbo,gpt-4,tie,2
141,gpt-3.5-turbo,alpaca-13b,model_a,1
154,vicuna-13b-v1.2,llama-13b,model_a,2
121,alpaca-13b,gpt-4,model_b,2
158,gpt-4,llama-13b,model_a,1
113,gpt-3.5-turbo,llama-13b,model_a,2
117,claude-v1,vicuna-13b-v1.2,tie,2
155,vicuna-13b-v1.2,gpt-3.5-turbo,tie,1
151,claude-v1,gpt-3.5-turbo,model_b,2
97,gpt-4,vicuna-13b-v1.2,model_a,1
133,claude-v1,gpt-4,tie,1
105,gpt-4,llama-13b,tie,2
110,gpt-4,llama-13b,model_a,2
100,gpt-3.5-turbo,claude-v1,model_a,1
91,gpt-4,claude-v1,tie,2
118,llama-13b,claude-v1,model_b,2
100,gpt-3.5-turbo,alpaca-13b,tie,2
120,vicuna-13b-v1.2,gpt-3.5-turbo,model_b,2
89,vicuna-13b-v1.2,claude-v1,model_b,2
116,llama-13b,gpt-3.5-turbo,model_b,1
115,vicuna-13b-v1.2,gpt-3.5-turbo,model_b,2
97,gpt-3.5-turbo,vicuna-13b-v1.2,model_b,1
142,llama-13b,gpt-4,model_b,1
125,gpt-4,claude-v1,tie,1
147,gpt-4,alpaca-13b,model_a,1
115,claude-v1,vicuna-13b-v1.2,tie,1
142,llama-13b,vicuna-13b-v1.2,model_b,2
96,alpaca-13b,claude-v1,model_b,1
153,gpt-4,claude-v1,model_a,2
132,llama-13b,claude-v1,model_b,2
117,gpt-3.5-turbo,claude-v1,tie,1
83,vicuna-13b-v1.2,gpt-3.5-turbo,model_b,2
